variant,horizon_s,symbol,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
eth100_btc50_bybit_long,120,btcusdt,90,-0.05651229912538141,24.23817008403404,-0.17578059250170375,24.29468238315942,5987401.549642222,True,98883,40091414,110304683481.2332,538866139.4678,109765817341.7654
eth100_btc50_bybit_long,120,ethusdt,90,0.10954968389910831,57.745131411118834,-0.01456770309097445,57.63558172721972,2451196.408589111,True,56874,70531203,102662756135.1466,220607676.77302,102442148458.3736
eth100_btc50_bybit_long,300,btcusdt,90,-0.022735974375751172,21.29026281549025,-0.12736648373202827,21.312998789866004,5987401.549642222,True,98883,40091414,110304683481.2332,538866139.4678,109765817341.7654
eth100_btc50_bybit_long,300,ethusdt,90,0.19488446970022846,57.08377683189088,0.07237506739778743,56.88889236219065,2451196.408589111,True,56874,70531203,102662756135.1466,220607676.77302,102442148458.3736
eth100_btc50_hybrid,30,btcusdt,90,-0.13395581871784798,17.082464012258534,-0.13843733337350722,17.21641983097638,318948.36892777774,False,6071,40184226,110304683481.2332,28705353.2035,110275978128.0297
eth100_btc50_hybrid,30,ethusdt,90,0.037604736675293744,75.2968394164637,-0.004533139098060593,75.2592346797884,638322.5044405556,True,21544,70566533,102662756135.1466,57449025.39965001,102605307109.74696
eth100_btc50_hybrid,120,btcusdt,90,-0.05651229912538141,6.585784430310739,-0.164265620904834,6.64229672943612,19564786.701583333,True,349018,39841279,110304683481.2332,1760830803.1425,108543852678.0907
eth100_btc50_hybrid,120,ethusdt,90,0.10954968389910831,17.52119442260719,-0.13970186934665532,17.411644738708084,16098875.544759555,True,445839,70142238,102662756135.1466,1448898799.02836,101213857336.11826
eth100_btc50_hybrid,300,btcusdt,90,-0.022735974375751172,6.464409317248976,-0.12797238318307658,6.487145291624728,19564786.701583333,True,349018,39841279,110304683481.2332,1760830803.1425,108543852678.0907
eth100_btc50_hybrid,300,ethusdt,90,0.19488446970022846,19.227002842090695,-0.07756452274501595,19.032118372390467,16098875.544759555,True,445839,70142238,102662756135.1466,1448898799.02836,101213857336.11826
eth100_btc50_liq2_120_bybit300,30,btcusdt,90,-0.13395581871784798,17.082464012258534,-0.13843733337350722,17.21641983097638,318948.36892777774,False,6071,40184226,110304683481.2332,28705353.2035,110275978128.0297
eth100_btc50_liq2_120_bybit300,30,ethusdt,90,0.037604736675293744,75.2968394164637,-0.004533139098060593,75.2592346797884,638322.5044405556,True,21544,70566533,102662756135.1466,57449025.39965001,102605307109.74696
eth100_btc50_liq2_120_bybit300,120,btcusdt,90,-0.05651229912538141,20.414038836262268,-0.11080992487284527,20.470551135387648,3242293.4385311115,True,52202,40138095,110304683481.2332,291806409.4678,110012877071.7654
eth100_btc50_liq2_120_bybit300,120,ethusdt,90,0.10954968389910831,54.11696950595552,0.056371182994127716,54.007419822056406,1122084.730304889,True,26597,70561480,102662756135.1466,100987625.72744,102561768509.41917
eth100_btc50_liq2_120_bybit300,300,btcusdt,90,-0.022735974375751172,21.29026281549025,-0.12736648373202827,21.312998789866004,5987401.549642222,True,98883,40091414,110304683481.2332,538866139.4678,109765817341.7654
eth100_btc50_liq2_120_bybit300,300,ethusdt,90,0.19488446970022846,57.08377683189088,0.07237506739778743,56.88889236219065,2451196.408589111,True,56874,70531203,102662756135.1466,220607676.77302,102442148458.3736
eth100_btc50_liq2_300,30,btcusdt,90,-0.13395581871784798,17.082464012258534,-0.13843733337350722,17.21641983097638,318948.36892777774,False,6071,40184226,110304683481.2332,28705353.2035,110275978128.0297
eth100_btc50_liq2_300,30,ethusdt,90,0.037604736675293744,75.2968394164637,-0.004533139098060593,75.2592346797884,638322.5044405556,True,21544,70566533,102662756135.1466,57449025.39965001,102605307109.74696
eth100_btc50_liq2_300,120,btcusdt,90,-0.05651229912538141,6.585784430310739,-0.164265620904834,6.64229672943612,19564786.701583333,True,349018,39841279,110304683481.2332,1760830803.1425,108543852678.0907
eth100_btc50_liq2_300,120,ethusdt,90,0.10954968389910831,17.52119442260719,-0.13970186934665532,17.411644738708084,16098875.544759555,True,445839,70142238,102662756135.1466,1448898799.02836,101213857336.11826
eth100_btc50_liq2_300,300,btcusdt,90,-0.022735974375751172,17.754325002043863,-0.06988918473161872,17.777060976419616,3242293.4385311115,True,52202,40138095,110304683481.2332,291806409.4678,110012877071.7654
eth100_btc50_liq2_300,300,ethusdt,90,0.19488446970022846,53.86664872664794,0.14203647263771446,53.67176425694771,1122084.730304889,True,26597,70561480,102662756135.1466,100987625.72744,102561768509.41917
eth100_btc50_liq2_long,30,btcusdt,90,-0.13395581871784798,17.082464012258534,-0.13843733337350722,17.21641983097638,318948.36892777774,False,6071,40184226,110304683481.2332,28705353.2035,110275978128.0297
eth100_btc50_liq2_long,30,ethusdt,90,0.037604736675293744,75.2968394164637,-0.004533139098060593,75.2592346797884,638322.5044405556,True,21544,70566533,102662756135.1466,57449025.39965001,102605307109.74696
eth100_btc50_liq2_long,120,btcusdt,90,-0.05651229912538141,20.414038836262268,-0.11080992487284527,20.470551135387648,3242293.4385311115,True,52202,40138095,110304683481.2332,291806409.4678,110012877071.7654
eth100_btc50_liq2_long,120,ethusdt,90,0.10954968389910831,54.11696950595552,0.056371182994127716,54.007419822056406,1122084.730304889,True,26597,70561480,102662756135.1466,100987625.72744,102561768509.41917
eth100_btc50_liq2_long,300,btcusdt,90,-0.022735974375751172,17.754325002043863,-0.06988918473161872,17.777060976419616,3242293.4385311115,True,52202,40138095,110304683481.2332,291806409.4678,110012877071.7654
eth100_btc50_liq2_long,300,ethusdt,90,0.19488446970022846,53.86664872664794,0.14203647263771446,53.67176425694771,1122084.730304889,True,26597,70561480,102662756135.1466,100987625.72744,102561768509.41917
liq2_120_bybit300_hybrid,30,btcusdt,90,-0.13395581871784798,17.082464012258534,-0.13843733337350722,17.21641983097638,318948.36892777774,False,6071,40184226,110304683481.2332,28705353.2035,110275978128.0297
liq2_120_bybit300_hybrid,30,ethusdt,90,0.037604736675293744,31.52704664834508,-0.07390058807029852,31.489441911669786,4025000.290334333,True,122297,70465780,102662756135.1466,362250026.13009,102300506109.01653
liq2_120_bybit300_hybrid,120,btcusdt,90,-0.05651229912538141,20.414038836262268,-0.11080992487284527,20.470551135387648,3242293.4385311115,True,52202,40138095,110304683481.2332,291806409.4678,110012877071.7654
liq2_120_bybit300_hybrid,120,ethusdt,90,0.10954968389910831,54.11696950595552,0.056371182994127716,54.007419822056406,1122084.730304889,True,26597,70561480,102662756135.1466,100987625.72744,102561768509.41917
liq2_120_bybit300_hybrid,300,btcusdt,90,-0.022735974375751172,21.29026281549025,-0.12736648373202827,21.312998789866004,5987401.549642222,True,98883,40091414,110304683481.2332,538866139.4678,109765817341.7654
liq2_120_bybit300_hybrid,300,ethusdt,90,0.19488446970022846,57.08377683189088,0.07237506739778743,56.88889236219065,2451196.408589111,True,56874,70531203,102662756135.1466,220607676.77302,102442148458.3736
liq2_300_hybrid,30,btcusdt,90,-0.13395581871784798,17.082464012258534,-0.13843733337350722,17.21641983097638,318948.36892777774,False,6071,40184226,110304683481.2332,28705353.2035,110275978128.0297
liq2_300_hybrid,30,ethusdt,90,0.037604736675293744,31.52704664834508,-0.07390058807029852,31.489441911669786,4025000.290334333,True,122297,70465780,102662756135.1466,362250026.13009,102300506109.01653
liq2_300_hybrid,120,btcusdt,90,-0.05651229912538141,6.585784430310739,-0.164265620904834,6.64229672943612,19564786.701583333,True,349018,39841279,110304683481.2332,1760830803.1425,108543852678.0907
liq2_300_hybrid,120,ethusdt,90,0.10954968389910831,17.52119442260719,-0.13970186934665532,17.411644738708084,16098875.544759555,True,445839,70142238,102662756135.1466,1448898799.02836,101213857336.11826
